id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
252,0.4824,0.1548,0.3294,0.3977,0.1912,0.0947,0.0316,0.0316,0.2834,0.3844
253,0.4629,0.2291,0.3231,0.2825,0.1987,0.1561,0.1254,0.1254,0.281,0.2644
254,0.5089,0.3353,0.4024,0.4334,0.3561,0.3099,0.2778,0.2778,0.4016,0.2797
255,0.4186,0.1647,0.3372,0.3402,0.2011,0.1345,0.0971,0.0971,0.2526,0.2286
256,0.2528,0.0599,0.1636,0.1259,0.0545,0.0112,0.0051,0.0051,0.1114,-0.0175
257,0.4868,0.139,0.3069,0.4352,0.2267,0.1307,0.0396,0.0396,0.3126,0.3018
258,0.3529,0.209,0.2941,0.2,0.1459,0.117,0.1011,0.1011,0.325,0.2791
259,0.4815,0.209,0.3259,0.2342,0.141,0.1025,0.0792,0.0792,0.2753,0.2497
260,0.5375,0.3038,0.4,0.4222,0.308,0.2411,0.1951,0.1951,0.5386,0.416
261,0.4222,0.2612,0.3407,0.2314,0.1808,0.1579,0.1422,0.1422,0.2555,0.2585
262,0.4091,0.1077,0.2273,0.2727,0.1198,0.0267,0.0127,0.0127,0.2965,0.3351
263,0.3176,0.0952,0.1412,0.1975,0.0861,0.0211,0.0105,0.0105,0.1071,0.0043
264,0.3288,0.1389,0.2192,0.2,0.122,0.0543,0.0204,0.0204,0.293,0.0635
265,0.4089,0.2152,0.3111,0.3325,0.2391,0.2117,0.1973,0.1973,0.305,0.1002
