id,generation_time_seconds,diffusion_steps,n_entities_pinned
1031,19.086,64,11
1032,12.048,64,10
1033,20.53,64,9
1034,16.997,64,10
1035,23.654,64,10
1036,45.861,64,7
1037,16.941,64,11
1038,14.176,64,12
1039,35.232,64,12
1040,23.825,64,9
1041,13.105,64,9
1042,9.399,64,8
1043,13.779,64,9
1044,17.568,64,10
1045,7.546,64,5
1046,27.22,64,12
1047,26.006,64,11
1048,40.924,64,8
1049,13.571,64,10
1050,25.742,64,10
1051,17.434,64,9
1052,11.948,64,10
1053,13.74,64,9
1054,27.242,64,11
1055,13.59,64,12
1056,17.18,64,10
1057,14.216,64,11
1058,18.503,64,8
1059,9.635,64,10
1060,18.514,64,6
1061,13.974,64,8
1062,11.886,64,10
1063,18.844,64,10
1064,33.6,64,9
1065,23.47,64,7
1066,19.985,64,11
1067,35.216,64,7
1068,13.593,64,8
1069,9.812,64,12
1070,13.055,64,11
1071,11.878,64,10
1072,26.186,64,9
1073,14.206,64,10
1074,18.549,64,11
1075,27.621,64,8
1076,18.904,64,11
1077,29.14,64,9
1078,13.867,64,9
1079,9.695,64,7
1080,27.602,64,11
1081,35.302,64,9
1082,25.789,64,8
1083,20.096,64,10
1084,38.064,64,11
1085,17.395,64,11
1086,13.62,64,11
1087,20.563,64,7
1088,12.0,64,9
1089,23.809,64,9
1090,12.061,64,5
1091,23.72,64,8
1092,13.016,64,8
1093,12.181,64,10
1094,9.255,64,10
1095,16.911,64,8
1096,29.422,64,9
1097,25.647,64,9
1098,13.177,64,10
1099,27.492,64,8
1100,14.14,64,9
1101,14.041,64,8
1102,39.321,64,13
1103,17.453,64,10
1104,20.292,64,7
1105,14.135,64,9
1106,17.201,64,10
1107,18.473,64,10
1108,20.389,64,11
1109,29.301,64,11
1110,18.98,64,11
1111,17.301,64,10
1112,18.496,64,7
1113,24.062,64,8
1114,13.563,64,11
1115,13.057,64,8
1116,13.536,64,8
1117,13.632,64,10
1118,12.928,64,11
1119,23.91,64,8
1120,17.647,64,9
1121,18.457,64,10
1122,20.622,64,8
1123,18.566,64,11
1124,9.366,64,13
1125,18.547,64,10
1126,20.455,64,6
1127,9.78,64,9
1128,20.518,64,11
1129,17.415,64,8
1130,13.485,64,10
1131,7.806,64,8
1132,18.663,64,9
1133,17.601,64,11
1134,7.549,64,7
1135,24.042,64,10
1136,17.283,64,9
1137,11.9,64,9
1138,9.594,64,10
1139,19.046,64,9
1140,23.788,64,8
1141,17.49,64,11
1142,9.745,64,9
1143,18.956,64,9
1144,13.8,64,11
1145,18.378,64,10
1146,13.189,64,8
1147,24.172,64,13
1148,48.398,64,7
1149,12.958,64,10
1150,18.615,64,9
1151,20.303,64,10
1152,13.012,64,9
1153,26.165,64,9
1154,11.843,64,10
1155,25.834,64,12
1156,12.903,64,13
1157,37.233,64,9
1158,18.973,64,9
1159,20.328,64,10
1160,13.637,64,7
1161,13.195,64,8
1162,20.671,64,8
1163,9.425,64,6
1164,26.048,64,9
1165,20.521,64,10
1166,25.99,64,11
1167,9.64,64,8
1168,27.133,64,8
1169,17.101,64,11
1170,20.203,64,9
1171,20.441,64,10
1172,20.465,64,8
1173,17.546,64,10
1174,18.653,64,8
1175,16.843,64,9
1176,13.04,64,9
1177,18.434,64,9
1178,9.317,64,7
1179,17.49,64,9
1180,23.774,64,7
1181,17.118,64,11
1182,13.864,64,10
1183,18.918,64,9
1184,13.693,64,8
1185,17.33,64,7
1186,23.975,64,9
1187,20.507,64,10
1188,7.936,64,8
1189,46.013,64,6
1190,12.106,64,7
1191,20.269,64,13
1192,17.394,64,7
1193,9.793,64,10
1194,17.612,64,7
1195,9.035,64,10
1196,13.567,64,9
1197,18.324,64,8
1198,17.167,64,8
1199,16.978,64,9
1200,20.39,64,8
1201,19.091,64,8
1202,9.251,64,4
1203,17.233,64,10
1204,29.042,64,9
1205,14.023,64,12
1206,9.719,64,7
1207,17.106,64,10
1208,20.454,64,11
1209,17.518,64,11
1210,17.313,64,9
1211,17.433,64,7
1212,9.71,64,8
1213,13.206,64,5
1214,20.207,64,8
1215,9.572,64,11
1216,14.101,64,10
1217,12.103,64,11
1218,14.055,64,9
1219,18.38,64,9
1220,24.145,64,10
