id,generation_time_seconds,iterations,n_entities_pinned
1117,1.367,6,10
1118,0.779,4,11
1119,2.395,6,8
1120,1.842,6,11
1121,1.255,4,9
1122,1.572,4,10
1123,1.976,6,11
1124,5.489,29,12
1125,1.863,6,10
1126,2.019,6,6
1127,5.442,27,9
1128,1.582,4,9
1129,1.71,6,8
1130,0.89,4,9
1131,3.755,19,8
1132,1.968,6,9
1133,1.717,6,11
1134,3.359,18,7
1135,1.647,4,9
1136,1.141,4,9
1137,1.105,6,9
1138,7.231,36,10
1139,1.874,6,9
1140,2.376,6,8
1141,1.709,6,12
1142,1.087,6,9
1143,1.238,4,7
1144,0.916,4,10
1145,1.31,4,9
1146,0.797,4,9
1147,2.42,6,12
1148,3.485,4,10
1149,1.209,6,9
1150,1.829,6,10
1151,1.346,4,10
1152,1.197,6,9
1153,1.758,4,10
1154,1.101,6,10
1155,2.614,6,11
1156,1.189,6,12
1157,2.638,4,8
1158,1.242,4,9
1159,2.026,6,9
1160,1.363,6,8
1161,0.888,4,8
1162,1.569,4,7
1163,4.579,23,6
1164,1.842,4,10
1165,1.563,4,10
1166,2.635,6,10
1167,8.222,41,8
1168,2.818,6,10
1169,1.653,6,10
1170,1.992,6,10
1171,2.023,6,10
1172,2.039,6,10
1173,1.718,6,10
1174,1.837,6,9
1175,1.636,6,8
1176,1.207,6,8
1177,1.881,6,8
1178,6.343,32,7
1179,1.71,6,10
1180,2.399,6,8
1181,1.675,6,11
1182,0.928,4,9
1183,1.862,6,9
1184,1.353,6,8
1185,1.826,6,8
1186,2.408,6,9
1187,1.362,4,9
1188,3.191,16,8
1189,4.822,6,8
1190,1.123,6,7
1191,2.02,6,11
1192,1.148,4,8
1193,0.794,4,10
1194,1.828,6,7
1195,4.064,22,9
1196,1.322,6,10
1197,1.256,4,10
1198,1.692,6,8
1199,1.662,6,9
1200,1.997,6,8
1201,1.873,6,8
1202,6.934,37,4
1203,1.691,6,10
1204,3.057,6,10
1205,1.443,6,10
1206,0.791,4,7
1207,1.109,4,9
1208,2.034,6,11
1209,1.719,6,11
1210,1.69,6,10
1211,1.714,6,9
1212,5.041,25,8
1213,1.212,6,5
1214,1.337,4,8
1215,0.783,4,10
1216,0.963,4,11
1217,1.13,6,11
1218,1.404,6,9
1219,1.879,6,10
1220,2.59,6,11
1221,1.987,6,8
1222,2.427,6,10
1223,5.308,28,12
1224,1.601,4,11
1225,1.975,6,11
1226,1.346,6,8
1227,1.861,6,6
1228,1.094,4,11
1229,0.722,4,9
1230,1.877,6,9
1231,4.81,24,4
1232,1.128,4,10
1233,1.835,6,11
1234,1.715,6,7
1235,1.119,6,9
1236,0.783,4,7
1237,1.346,6,10
1238,1.869,6,8
1239,2.354,6,9
1240,2.018,6,11
1241,0.892,4,11
1242,0.726,4,7
1243,1.979,6,10
1244,2.372,6,9
1245,0.799,4,10
1246,0.791,4,10
1247,1.883,6,10
1248,6.227,33,9
1249,2.467,9,7
1250,3.026,6,10
1251,1.437,6,12
1252,1.429,6,9
1253,1.241,4,7
1254,7.217,36,9
1255,1.859,6,12
1256,0.918,4,12
1257,1.716,6,12
1258,1.66,6,10
1259,5.235,26,9
1260,1.321,6,9
1261,2.644,6,9
1262,1.251,4,7
1263,5.158,26,10
1264,1.614,4,11
1265,1.977,6,12
1266,3.374,6,8
1267,1.325,4,9
1268,1.643,6,7
1269,0.96,4,9
1270,1.655,6,11
1271,2.017,6,9
1272,4.609,25,7
1273,1.212,6,11
1274,2.051,6,10
1275,4.972,25,8
1276,3.038,6,10
1277,2.629,6,7
1278,1.193,6,8
1279,3.691,20,10
1280,1.106,4,10
1281,2.411,6,10
1282,0.924,4,9
1283,2.004,6,10
1284,0.791,4,8
1285,1.191,6,11
1286,1.31,4,12
1287,0.798,4,6
1288,3.057,6,13
1289,5.717,31,5
1290,2.426,6,9
1291,2.374,6,10
1292,2.405,6,9
1293,3.234,4,11
1294,1.585,4,8
1295,1.594,4,10
1296,1.364,6,9
1297,1.835,6,8
1298,6.524,35,5
1299,1.832,6,10
1300,1.191,6,9
1301,0.889,4,10
1302,1.344,6,9
1303,1.322,6,10
1304,1.705,6,9
1305,2.358,6,8
1306,1.696,6,9
1307,1.651,6,8
1308,1.967,6,10
1309,1.739,4,10
1310,4.044,6,9
1311,1.21,6,8
1312,2.347,6,8
1313,1.885,6,9
1314,1.366,4,9
1315,1.881,6,7
1316,1.23,4,10
1317,5.562,28,9
1318,0.789,4,11
1319,1.717,6,10
1320,1.447,6,8
1321,1.575,4,11
1322,2.367,6,9
1323,1.703,6,11
1324,1.261,4,12
1325,1.232,4,11
1326,2.411,6,8
1327,2.023,6,10
1328,1.328,4,7
1329,1.098,4,9
1330,2.831,6,13
1331,1.865,6,8
1332,3.753,20,3
1333,1.607,4,11
1334,2.825,6,8
1335,4.032,6,10
1336,1.094,6,12
1337,2.425,6,11
1338,1.708,4,9
1339,1.564,4,8
1340,4.318,6,9
1341,1.146,4,10
1342,1.122,4,10
1343,1.841,6,11
1344,7.033,35,6
1345,1.113,4,11
1346,1.126,4,9
1347,1.666,6,9
1348,0.786,4,13
1349,0.72,4,7
1350,6.697,36,11
1351,2.039,6,7
